position,Male,Female,Other,n
CEO,26.944444444444443,71.11111111111111,1.9444444444444429,360
manager,22.22222222222222,71.11111111111111,6.666666666666657,360
secretary,0.0,100.0,0.0,360
intern,7.5,80.55555555555556,11.944444444444443,360
pilot,18.88888888888889,78.33333333333333,2.7777777777777857,360
flight attendant,1.1111111111111112,97.77777777777777,1.1111111111111143,360
professor,11.944444444444445,88.05555555555556,0.0,360
teacher,20.0,79.72222222222223,0.27777777777777146,360
white collar worker,42.77777777777778,55.27777777777778,1.9444444444444429,360
blue collar worker,97.5,1.9444444444444444,0.5555555555555556,360
